description,dis,sNumber,sTag,servArea,incType,numInc,numStand,perMet,90Avg,q,rank,rankQ4
Non-Emergency Incident,SOUTH & EAST REGIONAL,79,FS79,Latrobe West,nonInc,4,49,89.1,8.1,1,41,53
Emergency Incident,SOUTH & EAST REGIONAL,79,FS79,Latrobe West,emInc,55,49,89.1,8.1,1,41,53
Incident Total,SOUTH & EAST REGIONAL,79,FS79,Latrobe West,totInc,59,49,89.1,8.1,1,41,53
Non-Emergency Incident,CENTRAL,39,FS39,Port Melbourne,nonInc,5,154,89,8.3,1,42,32
Emergency Incident,CENTRAL,39,FS39,Port Melbourne,emInc,173,154,89,8.3,1,42,32
Incident Total,CENTRAL,39,FS39,Port Melbourne,totInc,178,154,89,8.3,1,42,32
Non-Emergency Incident,NORTHERN,16,FS16,Greensborough,nonInc,11,71,88.8,8.9,1,43,31
Emergency Incident,NORTHERN,16,FS16,Greensborough,emInc,80,71,88.8,8.9,1,43,31
Incident Total,NORTHERN,16,FS16,Greensborough,totInc,91,71,88.8,8.9,1,43,31
Non-Emergency Incident,EASTERN,27,FS27,Nunawading,nonInc,11,119,88.8,8.3,1,44,18
Emergency Incident,EASTERN,27,FS27,Nunawading,emInc,134,119,88.8,8.3,1,44,18
Incident Total,EASTERN,27,FS27,Nunawading,totInc,145,119,88.8,8.3,1,44,18
Non-Emergency Incident,NORTHERN,5,FS5,Broadmeadows,nonInc,21,212,88.7,8.2,1,45,69
Emergency Incident,NORTHERN,5,FS5,Broadmeadows,emInc,239,212,88.7,8.2,1,45,69
Incident Total,NORTHERN,5,FS5,Broadmeadows,totInc,260,212,88.7,8.2,1,45,69
Non-Emergency Incident,CENTRAL,13,FS13,Northcote,nonInc,23,165,88.7,7.9,1,46,59
Emergency Incident,CENTRAL,13,FS13,Northcote,emInc,186,165,88.7,7.9,1,46,59
Incident Total,CENTRAL,13,FS13,Northcote,totInc,209,165,88.7,7.9,1,46,59
Non-Emergency Incident,EASTERN,82,FS82,Eltham City,nonInc,16,53,88.3,8,1,47,39
